PC1,PC2,PC3
-1114809.8399742218,3886017.6058124998,3225144.7693211134
-992492.8557399181,-2035945.4518808965,1054642.3362380844
-1697757.76367972,-263087.099659808,274676.93514417764
837908.5529464949,1449754.17659587,208851.5585035468
-1604059.2819729839,685827.542241884,971408.6387981996
6930347.801372585,14074125.119380279,6777342.804908561
9132702.599998359,8162736.11263075,876349.9854747418
-2549574.4810470366,-1476600.0311194789,977123.1793015385
-1049883.2366414126,-416922.8691802446,-210983.4772752577
4423464.973488642,-945260.5422475921,-3683285.7256794893
-608930.6473423447,-108527.23204699578,-211680.93292382942
7563642.831089425,-9627.500951261958,-4700245.760348393
9229973.035907678,-912522.9312874206,-6348402.698636355
29546655.753128704,1052881.5787704657,-16143790.939721812
21065255.532257285,9743337.305596057,-4547428.630380988
992991.665117397,771490.311329404,-413388.99509034934
-858473.7567229872,-979781.7539191757,-760290.327571702
5935837.243264035,-6350956.602573148,4413303.658181395
13154774.381821267,-886121.5802046575,-8523324.769470446
3056434.535854918,-3938039.003247104,1995282.4023893105
23845101.148256388,-773923.3636484175,-14406048.64305167
8243363.320347146,-843110.8622195687,-5742023.000555556
-668089.6627549226,-1244234.779233181,-427412.1220633632
-343653.07334560575,-944777.4805506561,-1020416.2610051592
5966808.512591538,-2839753.3594898544,-1397322.507575648
7174285.909611768,-926369.5723744238,-5209174.355060805
10692449.715580128,12864002.319214338,3716552.2263421323
29516638.64956406,-777557.987360358,-17584308.895458266
11437636.565911919,-897883.7309193088,-7570942.062964277
169325.63345391117,-972830.7646463949,-1329990.3517393798
11247052.31706297,-1144827.2342392604,-7060476.251557812
18825677.400884863,-578618.4434300249,-11447830.593962362
4010072.6359885354,-2284711.6748805395,-1249802.1854050946
30383419.72995253,4099528.4432838303,-14213683.15162801
22860879.596045993,-821858.0567290534,-13897892.91308421
24694743.363574885,-1547603.5216394328,-13692892.601210903
1992971.9140460426,-960761.6333408954,-2339779.036401812
36497677.161658525,-679592.577316727,-21406176.23123626
10223510.30618513,3578142.583320212,-3353628.378756239
6197690.952615152,5996281.6953077195,806097.1064099658
5542366.138722521,5334877.034903943,646988.0598350953
284025.9149546246,1093787.2649293775,238521.05798105476
763840.9207674079,6481.395152398036,-887697.703611359
22828145.318850547,-824029.2402914986,-13872056.113473184
26662533.83038576,-800521.664012919,-15987858.79778433
-1282737.7689282997,324958.2713085477,506608.6661292381
-594235.5096234255,-977850.5482538978,-907324.0031359554
423559.19970423216,-970926.404764703,-1471639.5521053746
9629665.022253629,-714421.9810444466,-6413530.716076981
5171884.109047449,-876287.1173902175,-4051272.7783721867
10063887.320960093,-724410.5383069848,-6665264.287085107
10972252.513405863,-901073.1738064787,-7312817.903014116
4607799.6497295415,-943056.6352751593,-3789237.4111093455
6414225.663878248,-931651.8134914485,-4787319.646598609
30011421.916313,-777957.5536296595,-17843784.7640562
3511348.5605344186,2716737.8327487153,-281327.4739047461
7613850.683907441,5169824.467542834,674232.9511795858
-2507969.691956714,657802.5815994934,1453240.7629643097
4512550.280725017,-3278801.564506394,117334.93237360416
8920145.141720157,-3646351.9317141813,-1668564.3316730577
12938529.08234914,-10208153.598577779,6975310.258970819
27591719.429941162,-792971.5497609046,-16507893.00266137
26316401.755271606,-14818104.880058328,13661435.340450348
3566395.261525614,317409.940477922,-2210555.7039538953
-235183.815209602,1899632.815849475,1165241.5472027578
-1212987.9834817024,-981863.090940119,-565033.8883094264
4196068.325970901,-562800.583615728,-3255473.2035035715
-2648999.078237511,349740.6055048354,1289945.2595663834
-2163133.1068633376,-988348.6984917929,-38141.03232622496
5339967.993471396,-938235.7655633306,-4193583.421256104
38585945.42718232,-1484495.2391659229,-21113520.5597797
19915721.152582582,8579920.30370129,-4825938.292267526
38759693.32167856,-716586.6899663832,-22701578.553377
577413.3478463772,-2971264.83148195,1745747.4261508952
-1164723.4739362723,-981755.732862478,-590922.2490320012
1830189.2133204602,-579994.9750324222,-1681915.5183139872
